village_id,village,district,province,population,watershed,forest_loss
1602010008,PROVIDENCIA,YURIMAGUAS,ALTO AMAZONAS,400,Intercuenca Bajo Huallaga,90.43473250000001
1602010044,CARTAGENA,YURIMAGUAS,ALTO AMAZONAS,115,Intercuenca Bajo Huallaga,174.3139525
1602010041,SANTA TERESA,YURIMAGUAS,ALTO AMAZONAS,225,Intercuenca Bajo Huallaga,160.44659
1602010027,CACHIHUA_USCA,YURIMAGUAS,ALTO AMAZONAS,105,Intercuenca Bajo Huallaga,211.86690124999998
1602010038,LUZ DEL ORIENTE,YURIMAGUAS,ALTO AMAZONAS,173,Intercuenca Bajo Huallaga,208.57563374999998
1602010014,NUEVA ITALIA,YURIMAGUAS,ALTO AMAZONAS,54,Intercuenca Bajo Huallaga,150.0544925
1602010030,SAN JUAN CURIYACU,YURIMAGUAS,ALTO AMAZONAS,70,Intercuenca Bajo Huallaga,168.37564874999998
1602010039,SANTA ROSA I,YURIMAGUAS,ALTO AMAZONAS,103,Intercuenca Bajo Huallaga,182.70892875
1602010045,SAN FERNANDO,YURIMAGUAS,ALTO AMAZONAS,16,Intercuenca Bajo Huallaga,115.12358875
1602010139,AGUAS BLANCAS,YURIMAGUAS,ALTO AMAZONAS,30,Intercuenca Bajo Huallaga,194.53302375
1602060043,NUEVA CORINA,LAGUNAS,ALTO AMAZONAS,59,Intercuenca Bajo Huallaga,22.868516250000003
1602050016,BELLAVISTA,JEBEROS,ALTO AMAZONAS,361,Intercuenca Bajo Huallaga,134.1820375
1602050020,BETHEL,JEBEROS,ALTO AMAZONAS,292,Intercuenca Bajo Huallaga,114.47240000000001
1602050025,SANTA FE,JEBEROS,ALTO AMAZONAS,43,Intercuenca Bajo Huallaga,96.988835
1602050022,MONTE CRISTO,JEBEROS,ALTO AMAZONAS,72,Intercuenca Bajo Huallaga,40.54689
1602050015,PUNCHANA,JEBEROS,ALTO AMAZONAS,167,Intercuenca Bajo Huallaga,114.92525
1602050030,NUEVO JUNIN,JEBEROS,ALTO AMAZONAS,77,Intercuenca Bajo Huallaga,26.122079999999997
1602050019,LAGUNILLO,JEBEROS,ALTO AMAZONAS,46,Intercuenca Bajo Huallaga,137.245835
1602060044,PUMA ISLA,LAGUNAS,ALTO AMAZONAS,66,Intercuenca Bajo Huallaga,20.687207500000003
1602060040,TAMARATE,LAGUNAS,ALTO AMAZONAS,229,Intercuenca Bajo Huallaga,20.72396625
1602060002,ARAHUANTE,LAGUNAS,ALTO AMAZONAS,941,Intercuenca Bajo Huallaga,88.45761624999999
1602060039,SAN MANUEL,LAGUNAS,ALTO AMAZONAS,80,Intercuenca Bajo Huallaga,25.26844875
1602060032,ESPERANZA,LAGUNAS,ALTO AMAZONAS,136,Intercuenca Bajo Huallaga,26.561048749999998
1602060045,PAMPA HERMOSA,LAGUNAS,ALTO AMAZONAS,63,Intercuenca Bajo Huallaga,30.539875
1602060028,PROGRESO,LAGUNAS,ALTO AMAZONAS,52,Intercuenca Bajo Huallaga,48.2644325
1602060046,ACHUAL TIPISHICA,LAGUNAS,ALTO AMAZONAS,380,Intercuenca Bajo Huallaga,53.228252499999996
1602060058,PAUCARYACU,LAGUNAS,ALTO AMAZONAS,93,Intercuenca Bajo Huallaga,20.05952625
1602100018,HUATAPI,SANTA CRUZ,ALTO AMAZONAS,171,Intercuenca Bajo Huallaga,61.56351624999999
1602100021,PROGRESO,SANTA CRUZ,ALTO AMAZONAS,160,Intercuenca Bajo Huallaga,77.59104625
1602100023,SAN ANTONIO,SANTA CRUZ,ALTO AMAZONAS,134,Intercuenca Bajo Huallaga,76.647215
1602100020,SANTA GEMA DE YANAYAQUILL,SANTA CRUZ,ALTO AMAZONAS,147,Intercuenca Bajo Huallaga,64.7260675
1602100036,SELVA ALEGRE,SANTA CRUZ,ALTO AMAZONAS,157,Intercuenca Bajo Huallaga,53.57598
1602010003,ANGAMOS,YURIMAGUAS,ALTO AMAZONAS,148,Intercuenca Bajo Huallaga,62.547388749999996
1602100019,ISLANDIA,SANTA CRUZ,ALTO AMAZONAS,40,Intercuenca Bajo Huallaga,64.03939
1602100017,NUEVO SAN JUAN,SANTA CRUZ,ALTO AMAZONAS,25,Intercuenca Bajo Huallaga,44.59220875
1602100005,NARANJAL,SANTA CRUZ,ALTO AMAZONAS,177,Intercuenca Bajo Huallaga,27.66819
1602100003,ATAHUALPA,SANTA CRUZ,ALTO AMAZONAS,140,Intercuenca Bajo Huallaga,49.76740125
