province,district,village,ccpp_id,population,river_name,hydro_name_ana,hydro_name_l6,hydro_name_l7,adef
ALTO AMAZONAS,SANTA CRUZ,PROGRESO,1602100021,160,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,6.52055353
ALTO AMAZONAS,SANTA CRUZ,SANTA GEMA DE YANAYAQUILL,1602100020,147,Rio Huallaga,Intercuenca Bajo Huallga,Hydro10,Hydro53,5.33667069
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,LIBERTAD DE CUIPARILLO,1602110005,393,Rio Cuiparillo,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,12.538309869999999
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,LAGO CUIPARI,1602110002,609,Rio Cuiparillo,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,12.64704538
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,PUCUNILLO,1602110008,63,Rio Huallaga,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,9.14670897
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,BELLA SELVA,1602110027,63,Rio Huallaga,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,9.80138135
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,PARINARI,1602110021,213,Qda Parinari,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,7.65308353
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,NUEVO BARRANQUITA,1602110012,68,Qda Irapay,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,4.40621442
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,NUEVO PORVENIR,1602110029,61,Qda Irapay,Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,2.81099591
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,NUEVO TRIUNFO,1602110020,48,Rio Yanayacu (Rio Matador),Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,6.59320989
ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,NUEVO CANAAN,1602110011,199,Rio Yanayacu (Rio Matador),Intercuenca Medio Bajo Huallaga,Hydro10,Hydro62,7.01194393
LORETO,"NAUTA",DOSD E MAYO,1603010080,204,Rio Yanayaquillo,Intercuenca Bajo Marañón,Hydro6,Hydro32,0.51127268
LORETO,"NAUTA",SAN RAFAEL DE TAPIRILLO,1603010011,86,Rio Amazonas,Intercuenca 49799,Hydro2,Hydro26,2.99499062
LORETO,"NAUTA",TIERRA PROMETIDA,1603010010,11,Rio Amazonas,Intercuenca 49799,Hydro2,Hydro26,2.41868665
LORETO,"NAUTA",VILLA PUERTO CRUZ,1603010008,65,Rio Amazonas,Intercuenca 49799,Hydro2,Hydro26,5.75278263
LORETO,"NAUTA",NUEVO MUNDO,1603010009,132,Rio Amazonas,Intercuenca 49799,Hydro2,Hydro26,5.52174294
MAYNAS,FERNANDO LORES,SAN FERNANDO,1601030119,76,Rio Amazonas,Intercuenca 49799,Hydro2,Hydro26,5.35816274
LORETO,"NAUTA",PUERTO ALEGRIA,1603010031,28,Rio Tigre,Cuenca Tigre,Hydro7,Hydro77,0.43243226
LORETO,"NAUTA",28 DE JULIO,1603010017,50,Rio Nahuada,Cuenca Tigre,Hydro7,Hydro77,1.05861146
