id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1607050072,94,NUEVA YARINA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
1607050132,19,IHUAQUICOCHA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
1607050122,5,NUEVA ALEGRIA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
1607050144,30,TAPASHICOCHA,PASTAZA,DATEM DEL MARA_ON,Rio Chapuli,Hydro11,Hydro61,Cuenca Pastaza
1607060038,177,NUEVO PERU,ANDOAS,DATEM DEL MARA_ON,Rio Huitoyacu,Hydro11,Hydro60,Cuenca Pastaza
1607050095,116,LA CURVA,PASTAZA,DATEM DEL MARA_ON,Rio Pastaza,Hydro11,Hydro54,Cuenca Pastaza
1607050089,145,RECREO,PASTAZA,DATEM DEL MARA_ON,Rio Pastaza,Hydro11,Hydro54,Cuenca Pastaza
1607060018,110,NUEVO PORVENIR,ANDOAS,DATEM DEL MARA_ON,Rio Pastaza,Hydro11,Hydro68,Cuenca Pastaza
1607060046,93,"NARANJAL",ANDOAS,DATEM DEL MARA_ON,Rio Pastaza,Hydro11,Hydro68,Cuenca Pastaza
1601090001,2902,SAN ANTONIO DEL ESTRECHO,PUTUMAYO,PUTUMAYO,Rio Putumayo,Hydro12,Hydro15,Cuenca Putumayo
1601090032,108,ESPERANZA,PUTUMAYO,PUTUMAYO,Rio Putumayo,Hydro12,Hydro11,Cuenca Putumayo
1601090033,43,LA FLORIDA,PUTUMAYO,PUTUMAYO,Rio Putumayo,Hydro12,Hydro11,Cuenca Putumayo
1601100006,81,ESTIRON,TORRES CAUSANA,MAYNAS,Rio Santa Maria,Hydro4,Hydro35,Cuenca Napo
1601100002,15,SEGUNDO SAN JUAN,TORRES CAUSANA,MAYNAS,Rio Napo,Hydro4,Hydro35,Cuenca Napo
1601030013,47,TIMAREO III ZONA,FERNANDO LORES,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49797
1601030020,84,NUEVO AMAZONAS,FERNANDO LORES,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49797
1601030012,86,SANTA ANA DE MUYUY,FERNANDO LORES,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49797
1601120069,70,15 DE NOVIEMBRE,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49797
1601120019,88,BUENOS AIRES,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49795
1601120008,335,CAROCOCHA,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49795
1601120014,87,SAN PEDRO DE HUASHALADO,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49795
1601120021,165,RAFAEL BELAUNDE,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49795
1601120022,124,CENTRO UNION LUPUNA,BELEN,MAYNAS,Rio Amazonas,Hydro2,Hydro21,Intercuenca 49797
1601080021,507,SANTA MARIA DE OJEAL,PUNCHANA,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49793
1601080013,156,SAN JUAN DE SINCHICUY,PUNCHANA,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49793
1601080019,80,NUEVO PERU,PUNCHANA,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49793
1601080035,3,INDELSA,PUNCHANA,MAYNAS,Rio Amazonas,Hydro2,Hydro16,Intercuenca 49793
1601030052,82,LUCERO PATA,FERNANDO LORES,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601120050,107,28 DE JULIO,BELEN,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601120043,81,SAN PABLO DE LUPUNILLO,BELEN,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601120045,55,CENTRO MAZANA I ZONA,BELEN,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130031,441,3 DE FEBRERO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130019,24,CRUZ DEL SUR,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130022,530,PE_A NEGRA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130037,439,EX PETROLERO I ZONA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130033,378,NUEVO HORIZONTE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130032,120,PAUJIL,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130028,256,EL DORADO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130036,206,VILLA BUEN PASTOR,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130034,165,NUEVO MILAGRO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130025,585,MORALILLO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130024,818,VARILLAL,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130016,365,25 DE ENERO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130026,99,SAN JOSE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130013,83,BELEN DE JUDA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130029,31,24 DE JUNIO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130030,102,PAUJIL III ZONA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130075,47,24 DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130063,45,BUENA ESPERANZA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130014,33,SAN PEDRO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130042,98,NUEVA SANTA ELOISA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130077,73,CREACION 2000,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130040,51,SAN PEDRO DE PINTUYACO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130069,2361,LOS DELFINES,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130012,124,3 DE OCTUBRE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130020,55,5 DEJUNIO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro21,Cuenca Itaya
1601130056,604,CAHUIDE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130086,192,NUEVO SAN JUAN,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130048,57,BARADERO DE HOMAGUAS,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130051,29,NUEVO PROGRESO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1603010099,213,1_ DE FEBRERO,"NAUTA",LORETO,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601030060,90,SE_OR DE LOS MILAGROS,FERNANDO LORES,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130046,336,TRIUNFO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130045,501,SAN LUCAS,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130078,58,NUEVO TRIUNFO,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130079,141,HUAMBE,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130049,62,HABANA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130047,96,NUEVA VIDA,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130052,64,NUEVO SAN MARTIN,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130043,68,UNION,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601130081,63,AGUAS BLANCAS,SAN JUAN BAUTISTA,MAYNAS,Rio Itaya,Hydro2,Hydro27,Cuenca Itaya
1601140020,84,NUEVO BELEN,TENIENTE MANUEL CLAVERO,PUTUMAYO,Rio Yubineto,Hydro12,Hydro72,Cuenca Putumayo
1601100026,18,PUERTO ESTRELLA,TORRES CAUSANA,MAYNAS,Rio Lagartococha,Hydro4,Hydro72,Cuenca Napo
1602010063,161,NUEVO CAJAMARCA,YURIMAGUAS,ALTO AMAZONAS,Qda Yanayacu,Hydro10,Hydro63,Cuenca Paranapura
1602010080,135,SAN ROQUE,YURIMAGUAS,ALTO AMAZONAS,Qda Yanayacu,Hydro10,Hydro63,Cuenca Paranapura
